BubbleSort;reverse sorted 1 to 4100;200;162528
BubbleSort;reverse sorted 1 to 4100;250;248868
BubbleSort;reverse sorted 1 to 4100;300;366738
BubbleSort;reverse sorted 1 to 4100;1100;4769548
BubbleSort;reverse sorted 1 to 4100;2100;17227289
BubbleSort;reverse sorted 1 to 4100;3100;37540403
BubbleSort;reverse sorted 1 to 4100;4100;66224575
CountSort;rand 0 to 5;50;4159
CountSort;rand 0 to 5;100;9157
CountSort;rand 0 to 5;150;11629
CountSort;rand 0 to 5;200;13993
CountSort;rand 0 to 5;250;18568
CountSort;rand 0 to 5;300;21022
CountSort;rand 0 to 5;1100;58217
CountSort;rand 0 to 5;2100;114886
CountSort;rand 0 to 5;3100;165163
CountSort;rand 0 to 5;4100;229391
CountSort;rand 0 to 4000;50;7662
CountSort;rand 0 to 4000;100;11734
CountSort;rand 0 to 4000;150;12017
CountSort;rand 0 to 4000;200;17788
CountSort;rand 0 to 4000;250;22175
CountSort;rand 0 to 4000;300;25223
CountSort;rand 0 to 4000;1100;91686
CountSort;rand 0 to 4000;2100;170283
CountSort;rand 0 to 4000;3100;245782
CountSort;rand 0 to 4000;4100;325958
CountSort;almost sorted 1 to 4100;50;7953
CountSort;almost sorted 1 to 4100;100;11072
CountSort;almost sorted 1 to 4100;150;14546
CountSort;almost sorted 1 to 4100;200;17656
CountSort;almost sorted 1 to 4100;250;21438
CountSort;almost sorted 1 to 4100;300;24773
CountSort;almost sorted 1 to 4100;1100;83082
CountSort;almost sorted 1 to 4100;2100;156824
CountSort;almost sorted 1 to 4100;3100;242969
CountSort;almost sorted 1 to 4100;4100;307362
CountSort;reverse sorted 1 to 4100;50;6062
CountSort;reverse sorted 1 to 4100;100;13010
CountSort;reverse sorted 1 to 4100;150;19585
CountSort;reverse sorted 1 to 4100;200;22120
CountSort;reverse sorted 1 to 4100;250;33246
CountSort;reverse sorted 1 to 4100;300;33622
CountSort;reverse sorted 1 to 4100;1100;127149
CountSort;reverse sorted 1 to 4100;2100;185871
CountSort;reverse sorted 1 to 4100;3100;230417
CountSort;reverse sorted 1 to 4100;4100;298831
RadixSort;rand 0 to 5;50;7994
RadixSort;rand 0 to 5;100;12681
RadixSort;rand 0 to 5;150;15253
RadixSort;rand 0 to 5;200;25865
RadixSort;rand 0 to 5;250;24827
RadixSort;rand 0 to 5;300;27162
RadixSort;rand 0 to 5;1100;94413
RadixSort;rand 0 to 5;2100;181727
RadixSort;rand 0 to 5;3100;378385
RadixSort;rand 0 to 5;4100;428412
RadixSort;rand 0 to 4000;50;11283
RadixSort;rand 0 to 4000;100;19811
RadixSort;rand 0 to 4000;150;26807
RadixSort;rand 0 to 4000;200;29208
RadixSort;rand 0 to 4000;250;30133
RadixSort;rand 0 to 4000;300;32567
RadixSort;rand 0 to 4000;1100;150480
RadixSort;rand 0 to 4000;2100;241384
RadixSort;rand 0 to 4000;3100;315404
RadixSort;rand 0 to 4000;4100;362225
RadixSort;almost sorted 1 to 4100;50;8701
RadixSort;almost sorted 1 to 4100;100;13209
RadixSort;almost sorted 1 to 4100;150;17607
RadixSort;almost sorted 1 to 4100;200;22033
RadixSort;almost sorted 1 to 4100;250;25497
RadixSort;almost sorted 1 to 4100;300;32552
RadixSort;almost sorted 1 to 4100;1100;99815
RadixSort;almost sorted 1 to 4100;2100;189680
RadixSort;almost sorted 1 to 4100;3100;273338
RadixSort;almost sorted 1 to 4100;4100;438899
RadixSort;reverse sorted 1 to 4100;50;7668
RadixSort;reverse sorted 1 to 4100;100;11771
RadixSort;reverse sorted 1 to 4100;150;17790
RadixSort;reverse sorted 1 to 4100;200;23409
RadixSort;reverse sorted 1 to 4100;250;26352
RadixSort;reverse sorted 1 to 4100;300;52750
RadixSort;reverse sorted 1 to 4100;1100;104218
RadixSort;reverse sorted 1 to 4100;2100;199585
RadixSort;reverse sorted 1 to 4100;3100;272669
RadixSort;reverse sorted 1 to 4100;4100;362961
HeapSort;rand 0 to 5;50;5477
HeapSort;rand 0 to 5;100;9060
HeapSort;rand 0 to 5;150;10541
HeapSort;rand 0 to 5;200;12548
HeapSort;rand 0 to 5;250;17206
HeapSort;rand 0 to 5;300;15445
HeapSort;rand 0 to 5;1100;217715
HeapSort;rand 0 to 5;2100;697603
HeapSort;rand 0 to 5;3100;1269050
HeapSort;rand 0 to 5;4100;1923752
HeapSort;rand 0 to 4000;50;24227
HeapSort;rand 0 to 4000;100;33454
HeapSort;rand 0 to 4000;150;49894
HeapSort;rand 0 to 4000;200;77261
HeapSort;rand 0 to 4000;250;95973
HeapSort;rand 0 to 4000;300;121493
HeapSort;rand 0 to 4000;1100;539474
HeapSort;rand 0 to 4000;2100;1060457
